Code,Title,Description,Link
00010,Legislators,"Legislators participate in the activities of a federal, provincial, territorial or local government legislative body or executive council, band council or school board as elected or appointed members.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=RCP4gKAzNpRQFk6PnmPXQQVst68CqMkNn4z3%2BL55slU%3D
00011,Senior government managers and officials,"Senior government managers and officials plan, organize, direct, control and evaluate, through middle managers, the major activities of municipal or regional governments or of provincial, territorial or federal departments, boards, agencies or commissions. They establish the direction to be taken by these organizations in accordance with legislation and policies made by elected representatives or legislative bodies.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=vjLWcgKUZbzSPCCiAun%2BxugsnaDAnGihkpUI6C3igRw%3D
00012,"Senior managers - financial, communications and other business services","Senior managers in financial, communications and other business services are usually appointed by a board of directors, to which they report. They work either alone or in conjunction with the board of directors to develop and establish objectives for the company, and to develop or approve policies and programs. They plan, organize, direct, control and evaluate, through middle managers, the operations of their organization in relation to established objectives. They work in establishments throughout the telecommunications, finance, insurance, real estate, and data processing, hosting and related services industries as well as other business service industries or they may own and operate their own business.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=DIZZVryTLeFUFsIOIjQjUWUaRIWg4WNSCm9LwpcBB04%3D
00013,"Senior managers - health, education, social and community services and membership organizations","Senior managers in health, education, social and community services and membership organizations plan, organize, direct, control and evaluate, through middle managers, membership and other organizations or institutions that deliver health, education, social or community services. They formulate policies which establish the direction to be taken by these organizations, either alone or in conjunction with a board of directors. They are employed in health care organizations, educational services, social and community services and membership organizations or they may own and operate their own business.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=iozOh0j9me9E4YGUx808lfYj9Hp8JZeueuhwa9urfo0%3D
00014,"Senior managers - trade, broadcasting and other services","Senior managers in trade, broadcasting and other customer services plan, organize, direct, control and evaluate, through middle managers, trade, broadcasting and other service industry companies. They formulate policies which establish the direction to be taken by these companies, either alone or in conjunction with a board of directors. They work in establishments in broadcasting and related media services, wholesale trade, retail trade, accommodation and food service, and other services or they may own and operate their own business.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=%2FrK2Maea2do5KrnpxEpRBtMB0sTWIlOUjeZvO32VzgA%3D
00015,"Senior managers - construction, transportation, production and utilities","Senior managers in construction, transportation, production and utilities plan, organize, direct, control and evaluate, through middle managers, the overall operations of goods production, utility, transportation and construction companies. They formulate policies which establish the direction to be taken by these companies, either alone or in conjunction with other members of a board of directors. They work in establishments throughout the following industries: fishing, forestry, logging and agriculture; mining, oil and gas extraction; construction; transportation and warehousing; printing; manufacturing; and utilities or they may own and operate their own business.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=oerMarwD62BYiWXOdnECdNOvNKDvZta4aqj8v3NJoAk%3D
10010,Financial managers,"Financial managers plan, organize, direct, control and evaluate the operation of financial and accounting departments. They develop and implement the financial policies and systems of establishments. Financial managers establish performance standards and prepare various financial reports for senior management. They are employed in financial and accounting departments in companies throughout the private sector and in government.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=s24r4whnfTmOAFDEQa8urJEtE7NUs7ogWIVCJdKJrTA%3D
10011,Human resources managers,"Human resources managers plan, organize, direct, control and evaluate the operations of human resources and personnel departments, and develop and implement policies, programs and procedures regarding human resource planning, recruitment, collective bargaining, training and development, occupation classification and pay and benefit administration. They represent management and participate actively on various joint committees to maintain ongoing relations between management and employees. They are employed throughout the private and public sectors.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=E8gLPUtmVgc9v5NEm22n3DXKGa%2FkgQGAdKKqlpd3b0w%3D
10012,Purchasing managers,"Purchasing managers plan, organize, direct, control and evaluate the activities of a purchasing department and develop and implement the purchasing policies of a business or institution. They are employed throughout the public and private sectors.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=spM5aeqxh1diUYnkeNGqKVaQWvom3cuyv6AmuEWPch4%3D
10019,Other administrative services managers,"Other administrative services managers plan, organize, direct, control and evaluate departments responsible for corporate governance and regulatory compliance, records management, security services, admissions and other administrative services. Also included in this unit group are managers responsible for departments involved in two or more of the following activities: finance, human resources, purchasing or administrative services. They are employed throughout the public and private sector.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=PDcdkbrQgxk1zJzS6L5W1e%2BL9RxIYDNbrvfKzRZhOEw%3D
